year,month,item,category,city,price
2023,3,milk fresh (un-boiled),SPI Items,Multan,141.73
2023,3,milk fresh (un-boiled),SPI Items,Bahawalpur,120.0
2023,3,milk fresh (un-boiled),SPI Items,Karachi,207.78
2023,3,milk fresh (un-boiled),SPI Items,Hyderabad,162.58
2023,3,milk fresh (un-boiled),SPI Items,Sukkur,160.0
2023,3,milk fresh (un-boiled),SPI Items,Larkana,200.0
2023,3,milk fresh (un-boiled),SPI Items,Peshawar,187.39
2023,3,milk fresh (un-boiled),SPI Items,Bannu,149.78
2023,3,milk fresh (un-boiled),SPI Items,Quetta,191.27
2023,3,milk fresh (un-boiled),SPI Items,Khuzdar,164.59
2023,3,curd (dahi) loose,SPI Items,Islamabad,204.6
2023,3,curd (dahi) loose,SPI Items,Rawalpindi,204.41
2023,3,curd (dahi) loose,SPI Items,Gujranwala,171.95
2023,3,curd (dahi) loose,SPI Items,Sialkot,140.0
2023,3,curd (dahi) loose,SPI Items,Lahore,165.94
2023,3,curd (dahi) loose,SPI Items,Faisalabad,170.0
2023,3,curd (dahi) loose,SPI Items,Sargodha,160.0
2023,3,curd (dahi) loose,SPI Items,Multan,161.73
2023,3,curd (dahi) loose,SPI Items,Bahawalpur,146.59
2023,3,curd (dahi) loose,SPI Items,Karachi,299.26
2023,3,curd (dahi) loose,SPI Items,Hyderabad,239.27
2023,3,curd (dahi) loose,SPI Items,Sukkur,170.0
2023,3,curd (dahi) loose,SPI Items,Larkana,215.85
2023,3,curd (dahi) loose,SPI Items,Peshawar,198.53
2023,3,curd (dahi) loose,SPI Items,Bannu,160.0
2023,3,curd (dahi) loose,SPI Items,Quetta,208.94
2023,3,curd (dahi) loose,SPI Items,Khuzdar,189.07
2023,3,powdered milk nido 390 gm polybag,SPI Items,Islamabad,689.93
2023,3,powdered milk nido 390 gm polybag,SPI Items,Rawalpindi,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Gujranwala,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Sialkot,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Lahore,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Faisalabad,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Sargodha,647.93
2023,3,powdered milk nido 390 gm polybag,SPI Items,Multan,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Bahawalpur,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Karachi,676.82
2023,3,powdered milk nido 390 gm polybag,SPI Items,Hyderabad,697.3
2023,3,powdered milk nido 390 gm polybag,SPI Items,Sukkur,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Larkana,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Peshawar,719.1
2023,3,powdered milk nido 390 gm polybag,SPI Items,Bannu,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Quetta,680.0
2023,3,powdered milk nido 390 gm polybag,SPI Items,Khuzdar,680.0
2023,3,eggs hen (farm),SPI Items,Islamabad,250.54
2023,3,eggs hen (farm),SPI Items,Rawalpindi,245.16
2023,3,eggs hen (farm),SPI Items,Gujranwala,242.26
2023,3,eggs hen (farm),SPI Items,Sialkot,243.87
2023,3,eggs hen (farm),SPI Items,Lahore,237.98
2023,3,eggs hen (farm),SPI Items,Faisalabad,250.9
2023,3,eggs hen (farm),SPI Items,Sargodha,237.79
2023,3,eggs hen (farm),SPI Items,Multan,228.56
2023,3,eggs hen (farm),SPI Items,Bahawalpur,233.8
2023,3,eggs hen (farm),SPI Items,Karachi,251.85
2023,3,eggs hen (farm),SPI Items,Hyderabad,233.21
2023,3,eggs hen (farm),SPI Items,Sukkur,247.72
2023,3,eggs hen (farm),SPI Items,Larkana,237.61
2023,3,eggs hen (farm),SPI Items,Peshawar,245.48
2023,3,eggs hen (farm),SPI Items,Bannu,255.23
2023,3,eggs hen (farm),SPI Items,Quetta,258.84
2023,3,eggs hen (farm),SPI Items,Khuzdar,269.3
2023,3,mustard oil (average quality),SPI Items,Islamabad,697.21
2023,3,mustard oil (average quality),SPI Items,Rawalpindi,674.55
2023,3,mustard oil (average quality),SPI Items,Gujranwala,600.0
2023,3,mustard oil (average quality),SPI Items,Sialkot,560.0
2023,3,mustard oil (average quality),SPI Items,Lahore,586.1
2023,3,mustard oil (average quality),SPI Items,Faisalabad,640.0
2023,3,mustard oil (average quality),SPI Items,Sargodha,583.96
2023,3,mustard oil (average quality),SPI Items,Multan,607.21
2023,3,mustard oil (average quality),SPI Items,Bahawalpur,553.31
2023,3,mustard oil (average quality),SPI Items,Karachi,626.09
